player_id,player_name,old_team_id,old_team_name,leave_date,new_team_name
p247117,Habib Oueslati,t2128,Angers,2017-02-01,Tunisia U21
p221442,Matteo Petitgenet,t2128,Angers,2017-02-01,
p243742,Ronan Touzet,t2128,Angers,2017-02-01,
p101232,Jonas Pessalli,t2128,Angers,2016-11-05,Neftchi Baku
p44408,Ibrahima Diallo,t2128,Angers,2016-10-13,
p107613,Romain Saïss,t2128,Angers,2016-08-30,Wolverhampton Wanderers
p242165,Lucas Triki,t139,Bastia,2017-02-01,
p203025,Julien Benhaim,t139,Bastia,2017-02-01,Bastia Youth
p95461,Thievy,t139,Bastia,2017-01-17,Osmanlispor
p57129,Mathieu Peybernes,t139,Bastia,2017-01-11,Lorient
p56995,Grégory Sertic,t140,Bordeaux,2017-01-30,Marseille
p106272,Isaac Thelin,t140,Bordeaux,2017-01-05,RSC Anderlecht
p242514,Christopher Operi,t1028,Caen,2017-02-01,Châteauroux
p73965,Andy Delort,t1028,Caen,2016-08-31,Tigres
p50148,Johan Gastien,t2130,Dijon,2017-01-23,Brest
p110347,Quentin Bernard,t2130,Dijon,2017-01-01,Brest
p210207,Fousseni Diabaté,t428,Guingamp,2017-02-01,GFC Ajaccio
p219100,Alexis Mane,t428,Guingamp,2017-02-01,
p235215,Victor Mouangue Kingue,t428,Guingamp,2017-02-01,
p48603,Ronnie Schwartz,t428,Guingamp,2016-08-12,Waasland-Beveren
p232173,Clement Petrel,t429,Lille,2017-02-01,
p245632,Olivier Lesueur,t429,Lille,2017-02-01,
p247036,Ryad Habbas,t429,Lille,2017-02-01,
p245633,Emmanuel Debordeaux,t429,Lille,2017-02-01,
p37962,Morgan Amalfitano,t429,Lille,2017-01-31,Rennes
p61529,Ryan Mendes,t429,Lille,2017-01-31,Kayserispor
p37974,Mounir Obbadi,t429,Lille,2017-01-31,Nice
p48768,Younousse Sankharé,t429,Lille,2017-01-30,Bordeaux
p31878,Renato Civelli,t429,Lille,2017-01-01,Banfield
p202675,Benjamin Pavard,t429,Lille,2016-08-30,VfB Stuttgart
p128198,Sofiane Boufal,t429,Lille,2016-08-29,Southampton
p234518,Alexandre Lavenant,t694,Lorient,2017-02-01,
p131259,Moryke Fofana,t694,Lorient,2017-01-09,Konyaspor
p144660,Didier Ndong,t694,Lorient,2016-08-31,Sunderland
p213400,Maxime D'Arpino,t143,Lyon,2017-02-01,Orléans
p56674,Gueida Fofana,t143,Lyon,2017-01-18,
