player_id,player_name,total_playing_time
p40511,Denis Petric,0 days 07:52:00.000000000
p119744,Mathieu Michel,0 days 23:27:00.000000000
p85577,Alexandre Letellier,0 days 00:00:00.000000000
p174272,Anthony Mandrea,0 days 00:00:00.000000000
p218123,Maxime Sivis,0 days 00:00:00.000000000
p180299,Gabriel Mutombo Kupa,0 days 00:00:00.000000000
p58309,Yoann Andreu,0 days 23:46:00.000000000
p68545,Mateo Pavlovic,0 days 11:55:00.000000000
p42416,Ismael Traoré,1 days 00:46:00.000000000
p93622,Pablo Martinez,0 days 08:31:00.000000000
p45505,Romain Thomas,1 days 05:42:00.000000000
p57266,Abdoulaye Bamba,0 days 00:00:00.000000000
p213575,Mehdi Tahrat,0 days 00:10:00.000000000
p96195,Issa Cissokho,0 days 00:00:00.000000000
p54518,Vincent Manceau,1 days 02:19:00.000000000
p212600,Mathias Serin,0 days 00:00:00.000000000
p18574,Thomas Mangani,0 days 21:17:00.000000000
p15304,Grégory Bourillon,0 days 00:55:00.000000000
p220994,Aissa Laidouni,0 days 00:00:00.000000000
p112580,Pierrick Capelle,0 days 19:19:00.000000000
p168109,Cheikh N'Doye,1 days 05:42:00.000000000
p168985,Baptiste Santamaría,1 days 01:58:00.000000000
p154011,Flavien Tait,0 days 00:11:00.000000000
p195883,Jonathan Bamba,0 days 00:00:00.000000000
p44485,Jamel Saihi,0 days 07:14:00.000000000
p52002,Goran Karanoviç,0 days 00:00:00.000000000
p80485,Kévin Berigaud,1 days 01:40:00.000000000
p193454,Karl Toko Ekambi,1 days 01:19:00.000000000
p149535,Famara Diedhiou,0 days 23:00:00.000000000
p66589,Gilles Sunu,0 days 11:53:00.000000000
p66757,Dickson Nwakaeme,0 days 01:35:00.000000000
p216646,Yoane Wissa,0 days 00:16:00.000000000
p81118,Férébory Doré,0 days 01:19:00.000000000
p79870,Billy Ketkeophomphone,0 days 06:05:00.000000000
p195735,Nicolas Pepe,0 days 12:04:00.000000000
p83542,Thomas Vincensini,0 days 07:51:00.000000000
p44136,Jean-Louis Leca,2 days 22:40:00.000000000
p110143,Paul Charruau,0 days 04:24:00.000000000
p16718,Alexis Thébaux,0 days 00:00:00.000000000
p218507,Fodé Camara,0 days 00:00:00.000000000
p173242,Ismael Chester Diallo,0 days 00:00:00.000000000
p106884,Nicolas Saint-Ruf,1 days 05:00:00.000000000
p50301,Abdelhamid El Kaoutari,0 days 03:37:00.000000000
p13439,Sébastien Squillaci,1 days 11:22:00.000000000
p82725,Lindsay Rose,0 days 07:49:00.000000000
p48469,Pierre Bengtsson,2 days 05:12:00.000000000
p143685,Alexander Djiku,1 days 02:17:00.000000000
p37755,Florian Marange,2 days 00:21:00.000000000
p44140,Gilles Cioni,2 days 01:18:00.000000000
p243741,Hugo Magnetti,0 days 00:00:00.000000000
p250588,Sami Ben Amar,0 days 00:00:00.000000000
p81028,Sadio Diallo,1 days 11:25:00.000000000
p85351,Jerson Cabral,0 days 13:27:00.000000000
p6751,Gaël Danic,1 days 16:50:00.000000000
p170137,Allan Saint-Maximin,2 days 03:11:00.000000000
p176983,Lyes Houri,0 days 00:00:00.000000000
p105718,Lenny Nangis,1 days 05:55:00.000000000
p146668,Abdoulaye Keita,1 days 07:43:00.000000000
p51498,Mehdi Mostefa,2 days 07:55:00.000000000
p40808,Prince Oniangué,0 days 00:00:00.000000000
p44138,Yannick Cahuzac,2 days 10:14:00.000000000
p121596,Axel Ngando,0 days 06:21:00.000000000
p114531,Farid Boulaya,0 days 00:00:00.000000000
p215047,Lassana Coulibaly,2 days 04:09:00.000000000
p232170,Geoffrey Acheampong,0 days 00:17:00.000000000
p102765,Florian Raspentino,0 days 09:36:00.000000000
p178492,Enzo Crivelli,2 days 12:11:00.000000000
p200889,Julien Romain,0 days 00:00:00.000000000
p200848,Paul Bernardoni,0 days 00:00:00.000000000
p6244,Cédric Carrasso,0 days 22:07:00.000000000
p181439,Jerome Prior,1 days 23:15:00.000000000
p433830,Over Mandanda,0 days 00:00:00.000000000
p174892,Milan Gajic,0 days 16:37:00.000000000
p59340,Diego Contento,2 days 03:12:00.000000000
p210228,Vukasin Jovanovic,0 days 00:00:00.000000000
p220325,Jules Koundé,0 days 00:00:00.000000000
p82313,Nicolas Pallois,2 days 18:07:00.000000000
p71797,Igor Lewczuk,1 days 16:15:00.000000000
p12488,Jérémy Toulalan,1 days 17:37:00.000000000
p164474,Youssouf Sabaly,2 days 18:15:00.000000000
p199375,Cédric Yambéré,0 days 00:00:00.000000000
p176443,Théo Pellenard,0 days 01:37:00.000000000
p116504,Pablo,0 days 00:00:00.000000000
p203368,Frederic Guilbert,1 days 07:24:00.000000000
p424120,Olivier Verdon,0 days 00:00:00.000000000
p121524,Maxime Poundjé,0 days 15:10:00.000000000
p203151,Kevin Soni,0 days 00:00:00.000000000
p171222,Mauro Arambarri,0 days 01:19:00.000000000
p172870,Younes Kaabouni,0 days 00:00:00.000000000
p48768,Younousse Sankharé,2 days 04:29:00.000000000
p49878,Abdou Traoré,0 days 03:24:00.000000000
p218005,Adam Ounas,1 days 06:00:00.000000000
p12057,Jaroslav Plasil,2 days 17:13:00.000000000
p195982,Valentín Vada,0 days 16:19:00.000000000
p213247,Daniel Mancini,0 days 00:00:00.000000000
p244182,Zaydou Youssouf,0 days 11:50:00.000000000
p148011,Diego Rolan,1 days 04:34:00.000000000
p242768,Jorris Romil,0 days 00:00:00.000000000
p181092,Malcom,1 days 18:19:00.000000000
p19500,Jérémy Ménez,1 days 17:43:00.000000000
p176441,Thomas Touré,0 days 09:42:00.000000000
p193512,François Kamano,1 days 03:30:00.000000000
p18575,Nicolas Maurice-Belay,0 days 00:00:00.000000000
p167443,Gaetan Laborde,1 days 08:21:00.000000000
p178492,Enzo Crivelli,2 days 12:11:00.000000000
p9997,Rémy Vercoutre,1 days 14:55:00.000000000
p218071,Louis Deschateaux,0 days 00:00:00.000000000
p45032,Matthieu Dreyer,0 days 07:55:00.000000000
p120770,Paul Reulet,0 days 03:30:00.000000000
p205823,Florian Le Joncour,0 days 00:00:00.000000000
p12845,Alaeddine Yahia,1 days 13:36:00.000000000
p83724,Syam Ben Youssef,0 days 13:39:00.000000000
p50326,Emmanuel Imorou,0 days 12:55:00.000000000
p119691,Jordan Adeoti,1 days 06:20:00.000000000
p37995,Mouhamadou Dabo,0 days 02:31:00.000000000
p203368,Frederic Guilbert,1 days 07:24:00.000000000
p44287,Damien Da Silva,2 days 00:45:00.000000000
p44357,Romain Genevois,0 days 20:16:00.000000000
p94181,Chaker Alhadhur,0 days 00:00:00.000000000
p7103,Nicolas Seube,0 days 16:13:00.000000000
p97443,Ismael Diomande,0 days 11:45:00.000000000
p86281,Jonathan Delaplace,1 days 12:14:00.000000000
p6596,Steed Malbranque,0 days 09:16:00.000000000
p42761,Vincent Bessat,1 days 12:39:00.000000000
p199666,Jean-Victor Makengo,0 days 11:45:00.000000000
p119628,Jordan N'Kololo,0 days 00:00:00.000000000
p227763,Durel Avounou,0 days 00:00:00.000000000
p213335,Jordan Leborgne,0 days 01:33:00.000000000
p45082,Julien Féret,1 days 13:16:00.000000000
p215789,Valentin Voisin,0 days 00:00:00.000000000
p89179,Jeff Louis,0 days 00:00:00.000000000
p420962,Jordan Tell,0 days 00:00:00.000000000
p248687,Exauce Ngassaki,0 days 00:00:00.000000000
p184095,Yann Karamoh,1 days 02:23:00.000000000
p50996,Ronny Rodelin,1 days 23:39:00.000000000
p119768,Christian Kouakou,0 days 00:00:00.000000000
p58616,Herve Bazile,0 days 11:35:00.000000000
p60319,Ivan Santini,1 days 15:32:00.000000000
p154481,Pape Sane,0 days 08:25:00.000000000
p75987,Benjamin Leroy,0 days 17:11:00.000000000
p151065,Enzo Basilio,0 days 00:00:00.000000000
p110369,Bobby Allain,0 days 00:00:00.000000000
p93619,Baptiste Reynet,3 days 12:23:00.000000000
p121111,Ádám Lang,1 days 21:54:00.000000000
p44082,Arnold Bouka Moutou,0 days 20:20:00.000000000
p44312,Jordan Loties,0 days 21:57:00.000000000
p241398,Oussama Haddadi,0 days 00:00:00.000000000
p228170,Valentin Rosier,0 days 00:00:00.000000000
p106263,Yunis Abdelhamid,1 days 20:32:00.000000000
p100955,Vincent Rüfli,1 days 17:40:00.000000000
p119679,Fouad Chafik,2 days 23:34:00.000000000
p13939,Cedric Varrault,2 days 16:02:00.000000000
p193425,Jessy Benet,0 days 00:00:00.000000000
p216702,Erwan Maury,0 days 00:00:00.000000000
p120811,Anthony Belmonte,0 days 01:25:00.000000000
p228169,Guillaume Sarrabayrouse,0 days 00:00:00.000000000
